population,size,pop#,corruption#,linkageRecipe-approach,threshold,metric,max-sibling-gap,tp,fp,fn,precision,recall,f-measure,link-time-seconds,max-memory-usage,#ROs,code-version,hostname,linkageRecipe-fields
synthetic-scotland,13k,4,2,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,15750,71,3967,0.9955,0.7988,0.8864,42,1020164264,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-7.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,5,1,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,18157,46,2020,0.9975,0.8999,0.9462,47,2291952232,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-3.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,5,0,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,20138,51,39,0.9975,0.9981,0.9978,99,636091408,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-5.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,133k,1,0,sibling-birth-bundler,0.67,JENSEN_SHANNON,40,205430,6582,0,0.9690,1.0000,0.9842,4303,1099775448,110,799f9bfcecdce053d602d8a790afee31b42d65d9,hogun-4.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,133k,2,0,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,205808,5449,377,0.9742,0.9982,0.9860,4309,2669613840,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-3.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,133k,1,0,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,205035,4920,395,0.9766,0.9981,0.9872,4395,1414171840,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-6.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,133k,1,0,sibling-birth-bundler,0.67,BAG_DISTANCE,40,205430,25043,0,0.8913,1.0000,0.9425,8256,3596388520,30,799f9bfcecdce053d602d8a790afee31b42d65d9,hogun-3.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,133k,1,2,sibling-birth-bundler,0.67,BAG_DISTANCE,40,172192,19613,33238,0.8977,0.8382,0.8670,8150,2734174976,70,799f9bfcecdce053d602d8a790afee31b42d65d9,hogun-11.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,133k,1,0,sibling-birth-bundler,0.67,BAG_DISTANCE,40,205430,25043,0,0.8913,1.0000,0.9425,8209,2296243432,50,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-1.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,133k,1,0,sibling-birth-bundler,0.67,BAG_DISTANCE,40,205430,25043,0,0.8913,1.0000,0.9425,8474,1418912104,90,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-8.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
