name	count
VENDELA EMILIA	3
VENDELA EMILIE	1
LOVISA ANDREETTA	2
PER RICHARD VALDEMAR	1
ADOLFINA EUGENIA	1
MARG. MARTHA	1
H. N.	2
AUGUSTA MATILDA ELEONORA	1
HELENA CHARLOTT	1
KARL A.	4
SIGRI ULRICA	3
RUT SOFIA	2
ANNA EVA	22
EL. ALFR.	1
CECELIN MARG.	1
ABDON LUDVIG	4
GUST. FREDR. LEON.	1
AMANDA KAROL:A ANGELICA	1
THERESIA OTTILIA	1
KRISTINA MATILDA	103
EMELIA MARIA WILHELMINA	1
TEODOLINDA AMALIA	5
H. O.	5
CARL ADOLF LUDVIG	1
ELIN CHARLOTTA ULRIKA	1
ERIK PHILIP	1
ESR. GUSTAVA	1
ANTON HERBERT	1
GUNNEL MARIA	4
BRITA ELEONORAA	1
ANNA EUGENIA KAROLINA	1
LYDIA ELISABET	9
ANNY AMALIA LAURENTIA	1
ANNA GUSTAFIA	1
ROBERT FRIDIAN	2
DAGMAR AMALIA	2
EBBA ZENIA MARGARETA	1
AGNETA KRISTINA	2
OLGA AURORA NIKOLINA	1
NAEMI CHARLOTTA KRISTINA	1
WILMA SOFIA	7
HANS PETTER ABELL	1
HANNA FREDR. LOVISA	1
H. P.	41
SARA LARS	1
ROBERTH	1
JOEL ALGOT	2
INGER MATILDA	2
ANNA ELIDA VIRGINIA	1
TILDA OLIVIA	8
FREDRIK ALBERT EDGAR	1
ANNA EWA	18
AND JAC	1
RUTH ALEXANDRA	1
AX. LUDV. FERDIN.	1
SARA [AGATHA] JONATHA	1
JAMES NAPOLEON	1
CARL ADOLF EMANUEL	3
EMILI THEODOLINDA	1
INEZ JULIA	1
JON JENS	1
INGR. ELISAB.	1
JONAS OSK.	11
ARON NICKLAS	1
GERTHRUD CAJSA	1
N: H:	2
GÖTA NIKOLINA	3
BERTY GUSTAFVA	2
SOFIA WILH. DESIDERIA	1
PER DAN	6
DICK	1
DÖDF. FLICKB.	1
TOMAS PETER	4
SVERKER LEONTIUS	1
MATHIL.	1
KRIST. CHARLOTTA	3
KARL JOHAN ALEXIUS	1
ERNST PATRIK	1
LIGRID	1
HENNY THERESIA	3
HILDA JUSTINA	2
CARL AUGUST RICHARD	2
H. R.	1
KARL E.	2
HULDA MARGARETHA	5
IDA EUF.	1
HUGO FROM	1
ERIK BIRGER ANDREAS	2
NILS EDWARD	8
KRISTINA AMELIA	1
ELMA HELFRIDA	1
IDA KAROLINA	381
CARL MARTIN	10
CATHARINA HELENA CHARLOTTA	1
MERETTA	1
KARL ER	1
H. S.	3
KARL F.	3
¤ ¤DA	1
ELVIRA VALENTINA ELISABET	1
JOH. VILHELM	12
ERIKA CATHARINA	1
ABEL ADOLF	2
HINRIKA CHRISTINA	1
ELIOT JOHANNES	1
NILS ESKIL	5
KARL G.	5
FRANS (ANSELM)	1
KARL FR	2
ERIK OLOF EMANUEL	4
JOHAN HERMAN ALFRED	1
SARA ADINA ELEONORA	1
JOH. WILHELM	25
REINHOLD OLOF	1
SOFIA ANETTE	1
EVA MÄRTA	4
OSCAR JULIUS	1
KRISTINA TEOLINDA	13
JOH. SEVER.	1
MARGRETHA CHRIST	1
WILMA WIKTORIA	2
EMIL AUGUSTA	1
ERIK LEONTINUS	1
INGRID JOHANNA WILHELMINA	3
INGA VIKTORIA	10
KARL H.	1
JOHAN GUSTAF REINHOLD	2
ERIC MÅRTEN	3
PER CASPER	1
SVEN ARON	6
¤NNA FREDRIKA	4
MATHILDA LAURENTIA ELISABETH	2
MAGL. JOH.	1
MAGDA MARIA	5
BENGT WILHELM	2
NILS TYCHO	4
GÖSTA HERBERT AUGUST	1
FREDRIK MICHAEL	1
NANNI OTTILIA	1
EVA SCHARLOTTA	1
MINA MARINA	1
ISIDOR EMANUEL	1
JOH. DAV. REINH.	4
HILDA KATARINA	100
ESTER MARGRETA VIKTORIA	1
KATHARINA NATHALIA	1
CHRISTOFER EDV.	1
MAGDA MARIE	1
EMILIA HELENA	6
ETT DÖDFÖDT MANKÖN	2
IDA MAXIMILIANA ALBERTINA	4
HILMA ERIKA CHARLOTTA	1
ERLAND NIKOLAUS	2
SELMA EMILIA SOPHIE	1
REINH	1
HILDA ULRICA ELODIE	1
AUGUST HELMER NIKOLAUS	1
ELSA IDA KRISTINA	1
MAXIMUS LENER.	1
AND.ANT.	1
ELLEN	43
BARBARA MARGARETA	1
SIGNE WILHELMINA PAULINA	1
BERNT ARNE GUNNAR	1
ANDERS FRIDOLF	2
